slug	version	glb_url	crosswalk_url
mouth-female	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/mouth-female/v1.0/assets/3d-vh-f-mouth.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/mouth-female/v1.0/assets/crosswalk.csv
mouth-male	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/mouth-male/v1.0/assets/3d-vh-m-mouth.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/mouth-male/v1.0/assets/crosswalk.csv
omentum-female	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/omentum-female/v1.0/assets/3d-vh-f-omentum.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/omentum-female/v1.0/assets/crosswalk.csv
omentum-male	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/omentum-male/v1.0/assets/3d-vh-m-omentum.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/omentum-male/v1.0/assets/crosswalk.csv
ovary-female-left	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/ovary-female-left/v1.3/assets/3d-vh-f-ovary-l.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/ovary-female-left/v1.3/assets/crosswalk.csv
ovary-female-right	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/ovary-female-right/v1.3/assets/3d-vh-f-ovary-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/ovary-female-right/v1.3/assets/crosswalk.csv
palatine-tonsil-female-left	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/palatine-tonsil-female-left/v1.2/assets/3d-vh-f-palatine-tonsil-l.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/palatine-tonsil-female-left/v1.2/assets/crosswalk.csv
palatine-tonsil-female-right	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/palatine-tonsil-female-right/v1.2/assets/3d-vh-f-palatine-tonsil-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/palatine-tonsil-female-right/v1.2/assets/crosswalk.csv
palatine-tonsil-male-left	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/palatine-tonsil-male-left/v1.2/assets/3d-vh-m-palatine-tonsil-l.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/palatine-tonsil-male-left/v1.2/assets/crosswalk.csv
palatine-tonsil-male-right	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/palatine-tonsil-male-right/v1.2/assets/3d-vh-m-palatine-tonsil-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/palatine-tonsil-male-right/v1.2/assets/crosswalk.csv
pancreas-female	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-female/v1.3/assets/3d-vh-f-pancreas.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-female/v1.3/assets/crosswalk.csv
