# Z-Anatomy structure -> Latin name — GENERATED, do not edit by hand.
#
# Rebuild:  node scripts/build-latin-crosswalk.mjs --src <parts-catalog.json>
# Apply:    node scripts/apply-crosswalk.mjs public/models/z-anatomy.ao.glb \
#             public/models/z-anatomy-regions.ao.glb --tsv docs/z-anatomy-latin.tsv --field name_lat
#
# Joined from Anatomed (pitfa19/anatomed-mcp, CC BY-SA 4.0) by exact match on
# (name, side) after ordinal normalisation. The nomenclature is Z-Anatomy's;
# Anatomed extracted it. Both are credited — see licences.json and D24.
name	side	name_lat
Common interosseous artery	left	Arteria interossea communis
Common interosseous artery	right	Arteria interossea communis
Common palmar digital branches of ulnar nerve	left	Rami digitales palmares communes nervi ulnaris
Common palmar digital branches of ulnar nerve	right	Rami digitales palmares communes nervi ulnaris
Common plantar digital arteries	left	Arteriae digitales plantares communes
Common plantar digital arteries	right	Arteriae digitales plantares communes
Common plantar digital branches of lateral plantar nerve	left	Rami digitales plantares communes nervi plantaris lateralis
Common plantar digital branches of lateral plantar nerve	right	Rami digitales plantares communes nervi plantaris lateralis
Common plantar digital branches of medial plantar nerve		Rami digitales plantares communes nervi plantaris medialis
Common tendinous ring	left	Anulus tendineus communis
Common tendinous ring	right	Anulus tendineus communis
Concha of auricle	left	Concha auriculae
Concha of auricle	right	Concha auriculae
Conoid ligament	left	Ligamentum conoideum
Conoid ligament	right	Ligamentum conoideum
Coraco-acromial ligament	left	Ligamentum coracoacromiale
Coraco-acromial ligament	right	Ligamentum coracoacromiale
Coracobrachialis muscle	left	Musculus coracobrachialis
Coracobrachialis muscle	right	Musculus coracobrachialis
Coracohumeral ligament	left	Ligamentum coracohumerale
Coracohumeral ligament	right	Ligamentum coracohumerale
Cornea	left	Cornea
Cornea	right	Cornea
Corniculate cartilage	left	Cartilago corniculata
Corniculate cartilage	right	Cartilago corniculata
Coronary sinus		Sinus coronarius
Corpus callosum		Corpus callosum
Corpus cavernosum of penis		Corpus cavernosum penis
Corpus spongiosum of penis		Corpus spongiosum penis
Corrugator supercilii	left	Musculus corrugator supercilii
Corrugator supercilii	right	Musculus corrugator supercilii
Costocervical trunk	left	Truncus costocervicalis
Costocervical trunk	right	Truncus costocervicalis
Costoclavicular ligament	left	Ligamentum costoclaviculare
Costoclavicular ligament	right	Ligamentum costoclaviculare
Costotransverse ligament	left	Ligamentum costotransversarium
Costotransverse ligament	right	Ligamentum costotransversarium
Cricoid cartilage		Cartilago cricoidea
Cricopharyngeal ligament	left	Ligamentum cricopharyngeum
Cricopharyngeal ligament	right	Ligamentum cricopharyngeum
Crura of antihelix	left	Crura antihelicis
Crura of antihelix	right	Crura antihelicis
Crural fascia	left	Fascia cruris
Crural fascia	right	Fascia cruris
Cubital fossa	left	Fossa cubitalis
Cubital fossa	right	Fossa cubitalis
Cuboid bone	left	Os cuboideum
Cuboid bone	right	Os cuboideum
Cuneus	left	Cuneus
Cuneus	right	Cuneus
Cymba conchae	left	Cymba conchae
Cymba conchae	right	Cymba conchae
Deep artery of penis	left	Arteria profunda penis
